"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
32.8538427196459,41.675930647823,41.8883846375775,38.7514568074588,40.6900841502071,38.9038430811185,57.5813825390099,209.509213895098,672.492205981345,1735.32229563419,4694.40470397427,9781.94652756693,37520.8149973556
34.0390049910916,29.3092330544144,34.8773676205105,40.9764472763986,27.6224993153215,13.0785319606795,84.2696522499059,269.667247616671,598.510402891777,1397.93872817142,3767.76102712072,11317.7931103155,31632.1197435935
37.7732878489712,37.8677123147165,35.2420740893755,27.8479327416859,6.39110859354458,56.5061978096705,165.835789121653,423.956287614395,703.30985280211,1461.50400494497,3785.48506684528,10152.5052616116,35546.7050071869
31.2843804952613,25.5002556477196,17.8133843238424,12.7292419553727,72.3050345394678,205.397282726125,465.22289174543,775.680917163446,1351.74319895056,2514.47873767112,4787.24305458417,10478.6241161108,27192.979053232
21.6158977239105,15.5707310058927,26.335184412582,89.6562439982511,195.923937118089,430.772972644171,815.908719866993,1222.03954903751,1671.45527663612,2070.17613400152,3395.98600198225,9882.89815726743,29314.6203519542
21.9688346675827,35.9406368422721,84.7324472760268,268.106496169445,323.083915022681,723.28219813138,1105.28123039764,1837.52142039489,2390.82106955913,2330.49545905443,3028.09364107256,10636.4313963446,26553.7659654317
87.274382986877,156.285515265488,251.864688504177,535.214477416659,865.434241751269,1316.90423282791,1795.83795320724,2130.57334904027,2477.77874135302,2754.97134005918,4541.7782830235,10382.3946198528,29651.9680725334
216.891170409136,338.234152680212,495.767352388479,849.60917485226,898.354229573966,1590.03511024577,1865.46741730151,2393.20141729131,2567.58597064285,2447.45564123381,3441.80711164891,9435.78668846046,28171.0983366626
499.083342840458,544.952181994871,968.361710383764,1188.02963231026,1454.62577163934,2231.37428999736,2166.17670501394,2095.63981337746,2104.7168498579,1911.4333781419,2369.72849442451,10834.3620291461,37857.6995078411
703.381898278635,857.969074124646,1363.25750897638,1624.29436785616,1996.18707600857,1981.53131454462,2542.69997232619,2008.39883247691,1983.6095241573,1860.92014788052,2860.82996443012,9855.20100855075,36601.8229718965
969.543851628363,1216.88638132757,1631.6445512959,1891.87615432799,1953.69750723341,1932.8933707408,1939.01948824697,1978.64727236275,1579.98578561069,1492.65917205185,2822.14677304942,7824.0331022956,30932.0253097188
1351.72304830311,1450.09151570657,1686.04233235034,2155.57615688514,1810.43937497475,1658.18701385653,1928.46671577484,1621.96804183281,1367.44540165079,1090.70923260564,2329.8915760619,8399.59444895706,23184.5602702259
1323.12090393697,1678.28268807424,1896.73799736012,2011.4523673245,2004.4574935769,2227.20347689783,1911.56642055555,1452.90345118551,1208.41251686156,1357.07216638949,2107.35428239993,10010.2580351391,22603.5435141899
