"V1","V2","V3","V4","V5","V6","V7","V8"
-10,-10,-9.985,-9.985,0.0147750000000144,0.0147750000000144,0.0147750000000144,0.0147750000000144
-5,-10,-8.665,-9.27,1.41277500000002,0.197100000000006,0.360450000000014,0.360450000000014
0,-10,52.82,-9.00000000000046,42.8076000000001,1.4210854715202e-14,-1.13686837721616e-13,-1.13686837721616e-13
5,-10,83.78,-9.00000000000084,112.6316,0,-3.5242919693701e-12,-3.5242919693701e-12
10,-10,7.545,-8.99999999999845,16.887975,0,3.49587025993969e-12,3.49587025993969e-12
-10,-5,-9.995,-9.995,0.00497500000001594,0.00497500000001594,0.00497500000001594,0.00497500000001594
-5,-5,-8.735,-9.29999999999999,1.35477500000002,0.210000000000008,0.379500000000021,0.379500000000021
0,-5,54.05,-8.99153347403572,41.6975000000002,0.000120980550349259,-0.00228098794690368,-0.00228098794690368
5,-5,85.56,-8.99376870419136,37.6963999999998,6.48445974462675e-05,-0.000462627590877673,-0.000462627590877673
10,-5,84.545,-8.99194284080889,113.357975,9.5387683884951e-05,-0.0167641157987646,-0.0167641157987646
-10,0,-9.985,-9.97,0.0147750000000144,0.0690999999999917,0.0295500000000004,0.0295500000000004
-5,0,-7.29,-8.1654941668287,2.9559,0.918668728422574,0.443488869047606,0.443488869047606
0,0,85.08,-8.01032000386387,44.2636000000002,0.0204482675286926,0.0562256771313514,0.0562256771313514
5,0,116.475,-8.00226337168088,41.2693750000017,0.0154332281893943,0.0412595706869752,0.0412595706869752
10,0,117.35,-7.9950204392185,42.9975000000013,0.0138989734382449,0.135853401355121,0.135853401355121
-10,5,-8.99,142270856.9575,0.95989999999999,121472330270649424,237484896.742925,237484896.742925
-5,5,87.57,2512507.57640816,64.2551000000012,92667712908724.3,-30384252.7801434,-30384252.7801434
0,5,177.53,716504.925089902,2.37909999999829,7208693263784.93,-124505.057109758,-124505.057109758
5,5,178.83,2222956.68815132,1.28109999999651,53825182986726.3,-976178.953612804,-976178.953612804
10,5,178.63,5952905.50700944,1.39310000000114,65720897647878.8,-810385.367191076,-810385.367191076
-10,10,6.185,702680631.202942,14.070775,34232577501943488,-678402595.629617,-678402595.629617
-5,10,171.21,45933574.1469616,235.145899999996,242390695785611,-195225209.340919,-195225209.340919
0,10,179.99,56516772.3931326,0.00989999999728752,888570420.5,-2965.45125389099,-2965.45125389099
5,10,180,56513781.9125,0,292392,0,0
10,10,180,56513800.6389211,0,310180,0,0
